Campus Area,Area,Device,Browser,Time,Block,Download (Mbps)
North (Buchanan),Indoor,Computer,Chrome,Morning,1,200.4
North (Buchanan),Indoor,Computer,Edge,Morning,1,200.5
North (Buchanan),Indoor,Phone,Chrome,Morning,1,447.4
North (Buchanan),Indoor,Phone,Edge,Morning,1,193.9
North (Buchanan),Edge,Computer,Chrome,Morning,1,199
North (Buchanan),Edge,Computer,Edge,Morning,1,197.5
North (Buchanan),Edge,Phone,Chrome,Morning,1,193.7
North (Buchanan),Edge,Phone,Edge,Morning,1,538.1
North (Buchanan),Outdoor,Computer,Chrome,Morning,1,112.4
North (Buchanan),Outdoor,Computer,Edge,Morning,1,146.9
North (Buchanan),Outdoor,Phone,Chrome,Morning,1,43.08
North (Buchanan),Outdoor,Phone,Edge,Morning,1,41.17
Middle (Nest/IKB),Indoor,Computer,Chrome,Morning,1,187.22
Middle (Nest/IKB),Indoor,Computer,Edge,Morning,1,157.72
Middle (Nest/IKB),Indoor,Phone,Chrome,Morning,1,201.23
Middle (Nest/IKB),Indoor,Phone,Edge,Morning,1,200.98
Middle (Nest/IKB),Edge,Computer,Chrome,Morning,1,79.47
Middle (Nest/IKB),Edge,Computer,Edge,Morning,1,151.12
Middle (Nest/IKB),Edge,Phone,Chrome,Morning,1,86.59
Middle (Nest/IKB),Edge,Phone,Edge,Morning,1,201.79
Middle (Nest/IKB),Outdoor,Computer,Chrome,Morning,1,63.01
Middle (Nest/IKB),Outdoor,Computer,Edge,Morning,1,39.99
Middle (Nest/IKB),Outdoor,Phone,Chrome,Morning,1,83.96
Middle (Nest/IKB),Outdoor,Phone,Edge,Morning,1,77.63
South (ICICS),Indoor,Computer,Chrome,Morning,1,125.9
South (ICICS),Indoor,Computer,Edge,Morning,1,198.9
South (ICICS),Indoor,Phone,Chrome,Morning,1,188.1
South (ICICS),Indoor,Phone,Edge,Morning,1,109
South (ICICS),Edge,Computer,Chrome,Morning,1,152.4
South (ICICS),Edge,Computer,Edge,Morning,1,166.2
South (ICICS),Edge,Phone,Chrome,Morning,1,196.2
South (ICICS),Edge,Phone,Edge,Morning,1,138.7
South (ICICS),Outdoor,Computer,Chrome,Morning,1,123.23
South (ICICS),Outdoor,Computer,Edge,Morning,1,18.8
South (ICICS),Outdoor,Phone,Chrome,Morning,1,17.7
South (ICICS),Outdoor,Phone,Edge,Morning,1,7.6
North (Buchanan),Indoor,Computer,Chrome,Afternoon,1,200.5
North (Buchanan),Indoor,Computer,Edge,Afternoon,1,200.1
North (Buchanan),Indoor,Phone,Chrome,Afternoon,1,198.4
North (Buchanan),Indoor,Phone,Edge,Afternoon,1,186.3
North (Buchanan),Edge,Computer,Chrome,Afternoon,1,201.6
North (Buchanan),Edge,Computer,Edge,Afternoon,1,201.2
North (Buchanan),Edge,Phone,Chrome,Afternoon,1,192.3
North (Buchanan),Edge,Phone,Edge,Afternoon,1,197.1
North (Buchanan),Outdoor,Computer,Chrome,Afternoon,1,174.9
North (Buchanan),Outdoor,Computer,Edge,Afternoon,1,127.9
North (Buchanan),Outdoor,Phone,Chrome,Afternoon,1,55.4
North (Buchanan),Outdoor,Phone,Edge,Afternoon,1,43.8
Middle (Nest/IKB),Indoor,Computer,Chrome,Afternoon,1,152.31
Middle (Nest/IKB),Indoor,Computer,Edge,Afternoon,1,183.22
Middle (Nest/IKB),Indoor,Phone,Chrome,Afternoon,1,206.98
Middle (Nest/IKB),Indoor,Phone,Edge,Afternoon,1,189.41
Middle (Nest/IKB),Edge,Computer,Chrome,Afternoon,1,81.87
Middle (Nest/IKB),Edge,Computer,Edge,Afternoon,1,11.32
Middle (Nest/IKB),Edge,Phone,Chrome,Afternoon,1,10.39
Middle (Nest/IKB),Edge,Phone,Edge,Afternoon,1,8.43
Middle (Nest/IKB),Outdoor,Computer,Chrome,Afternoon,1,5.02
Middle (Nest/IKB),Outdoor,Computer,Edge,Afternoon,1,22.34
Middle (Nest/IKB),Outdoor,Phone,Chrome,Afternoon,1,31.55
Middle (Nest/IKB),Outdoor,Phone,Edge,Afternoon,1,45.96
South (ICICS),Indoor,Computer,Chrome,Afternoon,1,66.1
South (ICICS),Indoor,Computer,Edge,Afternoon,1,77.3
South (ICICS),Indoor,Phone,Chrome,Afternoon,1,187.8
South (ICICS),Indoor,Phone,Edge,Afternoon,1,113.5
South (ICICS),Edge,Computer,Chrome,Afternoon,1,68.4
South (ICICS),Edge,Computer,Edge,Afternoon,1,158.2
South (ICICS),Edge,Phone,Chrome,Afternoon,1,45.2
South (ICICS),Edge,Phone,Edge,Afternoon,1,81.4
South (ICICS),Outdoor,Computer,Chrome,Afternoon,1,85.9
South (ICICS),Outdoor,Computer,Edge,Afternoon,1,98.1
South (ICICS),Outdoor,Phone,Chrome,Afternoon,1,62
South (ICICS),Outdoor,Phone,Edge,Afternoon,1,66.4
North (Buchanan),Indoor,Computer,Chrome,Morning,2,194.17
North (Buchanan),Indoor,Computer,Edge,Morning,2,193.75
